AS             ,convergence_time
1              ,249            
2              ,224            
3              ,212            
4              ,192            
5              ,189            
6              ,184            
7              ,160            
8              ,150            
9              ,144            
10             ,108            
11             ,104            
12             ,95             
13             ,83             
14             ,66             
15             ,38             
16             ,27             
17             ,22             



time           ,converged_ASes ,non_converged_ASes,total_nodes    
151            ,10.9           ,6.1            ,17             
152            ,10.9           ,6.1            ,17             
153            ,11.3           ,5.7            ,17             
154            ,11.7           ,5.3            ,17             
155            ,11.7           ,5.3            ,17             
156            ,11.7           ,5.3            ,17             
157            ,11.7           ,5.3            ,17             
158            ,11.8           ,5.2            ,17             
159            ,12.2           ,4.8            ,17             
160            ,12.7           ,4.3            ,17             
161            ,13.0           ,4.0            ,17             
162            ,13.4           ,3.6            ,17             
163            ,13.5           ,3.5            ,17             
164            ,13.5           ,3.5            ,17             
165            ,13.5           ,3.5            ,17             
166            ,13.5           ,3.5            ,17             
167            ,13.6           ,3.4            ,17             
168            ,13.6           ,3.4            ,17             
169            ,13.6           ,3.4            ,17             
170            ,13.6           ,3.4            ,17             
171            ,13.6           ,3.4            ,17             
172            ,13.7           ,3.3            ,17             
173            ,13.7           ,3.3            ,17             
174            ,13.7           ,3.3            ,17             
175            ,13.7           ,3.3            ,17             
176            ,14.1           ,2.9            ,17             
177            ,14.1           ,2.9            ,17             
178            ,14.3           ,2.7            ,17             
179            ,14.7           ,2.3            ,17             
180            ,15.0           ,2.0            ,17             
181            ,15.0           ,2.0            ,17             
182            ,15.0           ,2.0            ,17             
183            ,15.0           ,2.0            ,17             
184            ,15.1           ,1.9            ,17             
185            ,15.1           ,1.9            ,17             
186            ,15.1           ,1.9            ,17             
187            ,15.1           ,1.9            ,17             
188            ,15.1           ,1.9            ,17             
189            ,15.2           ,1.8            ,17             
190            ,15.2           ,1.8            ,17             
191            ,15.2           ,1.8            ,17             
192            ,15.3           ,1.7            ,17             
193            ,15.4           ,1.6            ,17             
194            ,15.6           ,1.4            ,17             
195            ,15.8           ,1.2            ,17             
196            ,15.8           ,1.2            ,17             
197            ,15.8           ,1.2            ,17             
198            ,15.9           ,1.1            ,17             
199            ,16.3           ,0.7            ,17             
200            ,16.3           ,0.7            ,17             
201            ,16.3           ,0.7            ,17             
